Location,Individuals,People in Families with Children,Total People Experiencing Homelessness,year
South Carolina,3432,855,4287,2020
South Dakota,743,315,1058,2020
Tennessee,5673,1583,7256,2020
Texas,21115,6114,27229,2020
Utah,2150,981,3131,2020
Vermont,738,372,1110,2020
Virginia,3959,1998,5957,2020
Washington,16198,6725,22923,2020
West Virginia,1156,185,1341,2020
Wisconsin,2677,1838,4515,2020
Wyoming,427,185,612,2020
Guam,276,514,790,2020
Northern Mariana Islands,323,884,1207,2020
Puerto Rico,2251,200,2451,2020
Virgin Islands,304,0,304,2020
